uri,om_tieneEnlaceSIG,schema_url,geo_long,geo_lat,om_situadoEnVia,rdfs_label,rdfs_seeAlso,schema_geo_longitude,schema_geo_latitude
http://opendata.caceres.es/recurso/cultura-ocio/bibliotecas/Biblioteca/2,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1981,,-6.37288,39.475254,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-2937,Biblioteca Municipal Palacio de la Isla,http://turismo.ayto-caceres.es/recursos-culturales/palacio-de-la-isla,-6.37288,39.475254
http://opendata.caceres.es/recurso/cultura-ocio/bibliotecas/Biblioteca/1,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1641,http://www.biblio-zamoravicente.es/ppal.htm,-6.370952,39.473805,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/cuesta-773,Zamora Vicente,,-6.370952,39.473805
http://opendata.caceres.es/recurso/cultura-ocio/bibliotecas/Biblioteca/3,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1648,http://www.bibliotecaspublicas.es/caceres/,-6.376976,39.473258,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-17,Biblioteca Publica Rodriguez Moñino y Maria Brey,,-6.376976,39.473258
http://opendata.caceres.es/recurso/cultura-ocio/bibliotecas/Biblioteca/0,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=164,,-6.337286,39.479758,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Central UEX,,-6.337286,39.479758
